lat_dd,lat_degrees,lat_minutes,lat_seconds,lat_hemi,lon_dd,lon_degrees,lon_minutes,lon_seconds,lon_hemi,city,state
32.4197,32,25,11,N,-87.0197,87,1,11,W,Selma,AL
33.2097,33,12,35,N,-87.5697,87,34,11,W,Tuscaloosa,AL
32.22,32,13,12,N,-110.97,110,58,12,W,Tucson,AZ
49.27,49,16,12,N,-123.12,123,7,12,W,Vancouver,BC
"	34.052235",,,,N,-118.243683,,,,W,Los Angeles,CA
40.18,40,10,48,N,-122.2397,122,14,23,W,Red Bluff,CA
38.59,38,35,24,N,-121.4897,121,29,23,W,Sacramento,CA
36.6697,36,40,11,N,-121.65,121,39,0,W,Salinas,CA
34.11,34,6,36,N,-117.3097,117,18,35,W,San Bernardino,CA
32.7097,32,42,35,N,-117.15,117,9,0,W,San Diego,CA
37.7797,37,46,47,N,-122.4197,122,25,11,W,San Francisco,CA
37.34,37,20,24,N,-121.8797,121,52,47,W,San Jose,CA
33.7597,33,45,35,N,-117.87,117,52,12,W,Santa Ana,CA
34.4197,34,25,11,N,-119.6997,119,41,59,W,Santa Barbara,CA
38.4397,38,26,23,N,-122.72,122,43,12,W,Santa Rosa,CA
37.9597,37,57,35,N,-121.29,121,17,24,W,Stockton,CA
41.4197,41,25,11,N,-122.3897,122,23,23,W,Weed,CA
38.5297,38,31,47,N,-106,106,0,0,W,Salida,CO
40.6197,40,37,11,N,-103.22,103,13,12,W,Sterling,CO
37.1697,37,10,11,N,-104.51,104,30,36,W,Trinidad,CO
41.5497,41,32,59,N,-73.05,73,3,0,W,Waterbury,CT
38.8897,38,53,23,N,-77.0297,77,1,47,W,Washington,DC
39.75,39,45,0,N,-75.55,75,33,0,W,Wilmington,DE
29.8897,29,53,23,N,-81.3197,81,19,11,W,Saint Augustine,FL
27.34,27,20,24,N,-82.5297,82,31,47,W,Sarasota,FL
30.45,30,27,0,N,-84.2797,84,16,47,W,Tallahassee,FL
27.95,27,57,0,N,-82.4497,82,26,59,W,Tampa,FL
26.7197,26,43,11,N,-80.05,80,3,0,W,West Palm Beach,FL
32.08,32,4,48,N,-81.0897,81,5,23,W,Savannah,GA
32.5997,32,35,59,N,-82.3397,82,20,23,W,Swainsboro,GA
30.8297,30,49,47,N,-83.2797,83,16,47,W,Valdosta,GA
31.2197,31,13,11,N,-82.3497,82,20,59,W,Waycross,GA
42.49,42,29,24,N,-96.3897,96,23,23,W,Sioux City,IA
42.5,42,30,0,N,-92.3397,92,20,23,W,Waterloo,IA
42.56,42,33,36,N,-114.47,114,28,12,W,Twin Falls,ID
"	41.881832",,,,N,-87.623177,,,,W,Chicago,IL
42.27,42,16,12,N,-89.0997,89,5,59,W,Rockford,IL
39.7997,39,47,59,N,-89.65,89,39,0,W,Springfield,IL
42.36,42,21,36,N,-87.83,87,49,48,W,Waukegan,IL
39.83,39,49,48,N,-84.8897,84,53,23,W,Richmond,IN
41.68,41,40,48,N,-86.25,86,15,0,W,South Bend,IN
39.47,39,28,12,N,-87.41,87,24,36,W,TerreHaute,IN
38.68,38,40,48,N,-87.5297,87,31,47,W,Vincennes,IN
38.84,38,50,24,N,-97.61,97,36,36,W,Salina,KS
39.0497,39,2,59,N,-95.6697,95,40,11,W,Topeka,KS
37.6897,37,41,23,N,-97.3397,97,20,23,W,Wichita,KS
32.5097,32,30,35,N,-93.75,93,45,0,W,Shreveport,LA
42.0997,42,5,59,N,-72.5897,72,35,23,W,Springfield,MA
42.27,42,16,12,N,-71.8,71,48,0,W,Worcester,MA
49.88,49,52,48,N,-97.15,97,9,0,W,Winnipeg,MB
38.3697,38,22,11,N,-75.5997,75,35,59,W,Salisbury,MD
43.43,43,25,48,N,-83.94,83,56,24,W,Saginaw,MI
42.0997,42,5,59,N,-86.48,86,28,48,W,Saint Joseph,MI
46.49,46,29,24,N,-84.3497,84,20,59,W,Sault Sainte Marie,MI
44.7597,44,45,35,N,-85.6297,85,37,47,W,Traverse City,MI
44.02,44,1,12,N,-92.4597,92,27,35,W,Rochester,MN
45.5697,45,34,11,N,-94.1697,94,10,11,W,Saint Cloud,MN
44.95,44,57,0,N,-93.0997,93,5,59,W,Saint Paul,MN
39.77,39,46,12,N,-94.8397,94,50,23,W,Saint Joseph,MO
38.6197,38,37,11,N,-90.19,90,11,24,W,Saint Louis,MO
38.7097,38,42,35,N,-93.23,93,13,48,W,Sedalia,MO
37.22,37,13,12,N,-93.29,93,17,24,W,Springfield,MO
34.2597,34,15,35,N,-88.7097,88,42,35,W,Tupelo,MS
32.3497,32,20,59,N,-90.8797,90,52,47,W,Vicksburg,MS
41.8697,41,52,11,N,-103.66,103,39,36,W,Scottsbluff,NB
35.9397,35,56,23,N,-77.8,77,48,0,W,Rocky Mount,NC
34.24,34,14,24,N,-77.9197,77,55,11,W,Wilmington,NC
36.0997,36,5,59,N,-80.25,80,15,0,W,Winston-Salem,NC
46.9197,46,55,11,N,-98.01,98,0,36,W,Valley City,ND
48.15,48,9,0,N,-103.62,103,37,12,W,Williston,ND
40.2297,40,13,47,N,-74.7697,74,46,11,W,Trenton,NJ
33.4,33,24,0,N,-104.5297,104,31,47,W,Roswell,NM
35.68,35,40,48,N,-105.9497,105,56,59,W,SantaFe,NM
39.52,39,31,12,N,-119.8097,119,48,35,W,Reno,NV
40.73061,,,,N,-73.935242,,,,W,New York,NY
43.1597,43,9,35,N,-77.61,77,36,36,W,Rochester,NY
42.8197,42,49,11,N,-73.9497,73,56,59,W,Schenectady,NY
43.0497,43,2,59,N,-76.15,76,9,0,W,Syracuse,NY
43.11,43,6,36,N,-75.23,75,13,48,W,Utica,NY
43.9797,43,58,47,N,-75.9197,75,55,11,W,Watertown,NY
41.45,41,27,0,N,-82.7097,82,42,35,W,Sandusky,OH
39.9197,39,55,11,N,-83.8097,83,48,35,W,Springfield,OH
40.36,40,21,36,N,-80.62,80,37,12,W,Steubenville,OH
41.65,41,39,0,N,-83.54,83,32,24,W,Toledo,OH
41.0997,41,5,59,N,-80.65,80,39,0,W,Youngstown,OH
41.1597,41,9,35,N,-81.2397,81,14,23,W,Ravenna,OH
35.2297,35,13,47,N,-96.68,96,40,48,W,Seminole,OK
36.1597,36,9,35,N,-95.91,95,54,36,W,Tulsa,OK
43.65,43,39,0,N,-79.3797,79,22,47,W,Toronto,ON
44.9397,44,56,23,N,-123.0297,123,1,47,W,Salem,OR
40.33,40,19,48,N,-75.93,75,55,48,W,Reading,PA
41.4097,41,24,35,N,-75.6697,75,40,11,W,Scranton,PA
40.99,40,59,24,N,-75.19,75,11,24,W,Stroudsburg,PA
39.9,39,54,0,N,-79.73,79,43,48,W,Uniontown,PA
41.8497,41,50,59,N,-79.1397,79,8,23,W,Warren,PA
41.25,41,15,0,N,-77,77,0,0,W,Williamsport,PA
50.4197,50,25,11,N,-104.65,104,39,0,W,Regina,SA
33.9197,33,55,11,N,-80.3497,80,20,59,W,Sumter,SC
43.54,43,32,24,N,-96.73,96,43,48,W,SiouxFalls,SD
44.9,44,54,0,N,-97.11,97,6,36,W,Watertown,SD
42.88,42,52,48,N,-97.3897,97,23,23,W,Yankton,SD
31.4597,31,27,35,N,-100.44,100,26,24,W,San Angelo,TX
29.42,29,25,12,N,-98.5,98,30,0,W,San Antonio,TX
33.6397,33,38,23,N,-96.61,96,36,36,W,Sherman,TX
33.43,33,25,48,N,-94.05,94,3,0,W,Texarkana,TX
32.3497,32,20,59,N,-95.3,95,18,0,W,Tyler,TX
28.8097,28,48,35,N,-97.01,97,0,36,W,Victoria,TX
31.5497,31,32,59,N,-97.1397,97,8,23,W,Waco,TX
33.9,33,54,0,N,-98.4897,98,29,23,W,Wichita Falls,TX
38.77,38,46,12,N,-112.0897,112,5,23,W,Richfield,UT
40.7597,40,45,35,N,-111.8797,111,52,47,W,Salt Lake City,UT
37.54,37,32,24,N,-77.4497,77,26,59,W,Richmond,VA
37.27,37,16,12,N,-79.94,79,56,24,W,Roanoke,VA
38.15,38,9,0,N,-79.0697,79,4,11,W,Staunton,VA
39.1897,39,11,23,N,-78.16,78,9,36,W,Winchester,VA
43.61,43,36,36,N,-72.97,72,58,12,W,Rutland,VT
44.4197,44,25,11,N,-72.0197,72,1,11,W,Saint Johnsbury,VT
47.5997,47,35,59,N,-122.33,122,19,48,W,Seattle,WA
47.6697,47,40,11,N,-117.41,117,24,36,W,Spokane,WA
47.24,47,14,24,N,-122.43,122,25,48,W,Tacoma,WA
46.0697,46,4,11,N,-118.33,118,19,48,W,Walla Walla,WA
47.4197,47,25,11,N,-120.3197,120,19,11,W,Wenatchee,WA
46.5997,46,35,59,N,-120.51,120,30,36,W,Yakima,WA
45.6397,45,38,23,N,-89.4197,89,25,11,W,Rhinelander,WI
44.52,44,31,12,N,-89.5697,89,34,11,W,Stevens Point,WI
44.9597,44,57,35,N,-89.6397,89,38,23,W,Wausau,WI
43.63,43,37,48,N,-89.7697,89,46,11,W,Wisconsin Dells,WI
40.0697,40,4,11,N,-80.72,80,43,12,W,Wheeling,WV
37.68,37,40,48,N,-82.2797,82,16,47,W,Williamson,WV
41.59,41,35,24,N,-109.23,109,13,48,W,Rock Springs,WY
44.7997,44,47,59,N,-106.9597,106,57,35,W,Sheridan,WY
