country,code,year,tonnes
Albania,ALB,1980,21000
Algeria,DZA,1980,283751
Argentina,ARG,1980,2348998
Australia,AUS,1980,414237
Austria,AUT,1980,308642
Belgium-Luxembourg (FAO),,1980,5688
Bolivia,BOL,1980,1984
Brazil,BRA,1980,199602
Bulgaria,BGR,1980,409200
Canada,CAN,1980,45493
Chile,CHL,1980,586000
China,CHN,1980,80000
Colombia,COL,1980,0
Cuba,CUB,1980,0
Cyprus,CYP,1980,60000
Egypt,EGY,1980,1650
France,FRA,1980,6971100
Germany,DEU,1980,486723
Greece,GRC,1980,449900
Hungary,HUN,1980,569440
Israel,ISR,1980,18896
Italy,ITA,1980,8654500
Japan,JPN,1980,45620
Jordan,JOR,1980,0
Lebanon,LBN,1980,4300
Libya,LBY,1980,0
Madagascar,MDG,1980,6600
Malta,MLT,1980,2590
Mexico,MEX,1980,170309.06
Morocco,MAR,1980,91000
New Zealand,NZL,1980,46647
Norway,NOR,1980,0
Panama,PAN,1980,256
Paraguay,PRY,1980,9100
Peru,PER,1980,9000
Portugal,PRT,1980,1029040
Reunion,REU,1980,23
Romania,ROU,1980,759900
South Africa,ZAF,1980,706872
Spain,ESP,1980,4240200
Switzerland,CHE,1980,78988
Syria,SYR,1980,245
Tunisia,TUN,1980,61900
Turkey,TUR,1980,15120
United Kingdom,GBR,1980,0
United States,USA,1980,1800000
Uruguay,URY,1980,57078
Vietnam,VNM,1980,0
Yugoslavia,OWID_YGS,1980,817279
Zimbabwe,ZWE,1980,1050
Albania,ALB,1981,22900
Algeria,DZA,1981,266888
Argentina,ARG,1981,2179881
Australia,AUS,1981,374273
Austria,AUT,1981,208517
Belgium-Luxembourg (FAO),,1981,10274
Bolivia,BOL,1981,1984
Brazil,BRA,1981,288008
Bulgaria,BGR,1981,486400
Canada,CAN,1981,45402
Chile,CHL,1981,594300
China,CHN,1981,111000
Colombia,COL,1981,0
Cuba,CUB,1981,0
Cyprus,CYP,1981,41600
Egypt,EGY,1981,1587
France,FRA,1981,5770000
Germany,DEU,1981,747981
Greece,GRC,1981,479300
Hungary,HUN,1981,389120
Israel,ISR,1981,16643
Italy,ITA,1981,7056000
Japan,JPN,1981,43270
Jordan,JOR,1981,0
Lebanon,LBN,1981,4500
Libya,LBY,1981,0
Madagascar,MDG,1981,5900
Malta,MLT,1981,2240
Mexico,MEX,1981,232850.31
Morocco,MAR,1981,84000
New Zealand,NZL,1981,44353
Norway,NOR,1981,0
Panama,PAN,1981,273
Paraguay,PRY,1981,7600
Peru,PER,1981,9000
Portugal,PRT,1981,909510
Reunion,REU,1981,70
Romania,ROU,1981,995100
South Africa,ZAF,1981,666712
Spain,ESP,1981,3366700
Switzerland,CHE,1981,80098
Syria,SYR,1981,235
Tunisia,TUN,1981,56800
Turkey,TUR,1981,16247
United Kingdom,GBR,1981,700
United States,USA,1981,1630000
Uruguay,URY,1981,97148
Vietnam,VNM,1981,0
Yugoslavia,OWID_YGS,1981,688654
Zimbabwe,ZWE,1981,1610
Albania,ALB,1982,21000
Algeria,DZA,1982,151400
Argentina,ARG,1982,2518070
Australia,AUS,1982,402700
Austria,AUT,1982,490565
Belgium-Luxembourg (FAO),,1982,26179
Bolivia,BOL,1982,2048
Brazil,BRA,1982,329715
Bulgaria,BGR,1982,574000
Canada,CAN,1982,45871
Chile,CHL,1982,610000
China,CHN,1982,118000
Colombia,COL,1982,0
Cuba,CUB,1982,0
Cyprus,CYP,1982,48300
Egypt,EGY,1982,1524
France,FRA,1982,7995000
Germany,DEU,1982,1612800
Greece,GRC,1982,461840
Hungary,HUN,1982,676830
Israel,ISR,1982,16026
Italy,ITA,1982,7264800
Japan,JPN,1982,59220
Jordan,JOR,1982,0
Lebanon,LBN,1982,4500
Libya,LBY,1982,0
Madagascar,MDG,1982,6300
Malta,MLT,1982,2240
Mexico,MEX,1982,230467.53
Morocco,MAR,1982,35000
New Zealand,NZL,1982,47001
Norway,NOR,1982,0
Panama,PAN,1982,277
Paraguay,PRY,1982,7700
Peru,PER,1982,9000
Portugal,PRT,1982,1020680
Reunion,REU,1982,28
Romania,ROU,1982,1306900
South Africa,ZAF,1982,772332
Spain,ESP,1982,3743300
Switzerland,CHE,1982,172440
Syria,SYR,1982,372
Tunisia,TUN,1982,47910
Turkey,TUR,1982,17597
United Kingdom,GBR,1982,700
United States,USA,1982,1950000
Uruguay,URY,1982,83575
Vietnam,VNM,1982,0
Yugoslavia,OWID_YGS,1982,857641
Zimbabwe,ZWE,1982,1530
Albania,ALB,1983,23500
Algeria,DZA,1983,187567
Argentina,ARG,1983,2471916
Australia,AUS,1983,340100
Austria,AUT,1983,369793
Belgium-Luxembourg (FAO),,1983,18926
Bolivia,BOL,1983,2048
Brazil,BRA,1983,188193
Bulgaria,BGR,1983,454900
Canada,CAN,1983,52822
Chile,CHL,1983,490000
China,CHN,1983,129000
Colombia,COL,1983,0
Cuba,CUB,1983,0
Cyprus,CYP,1983,45000
Egypt,EGY,1983,1564
France,FRA,1983,6880000
Germany,DEU,1983,1339180
Greece,GRC,1983,501400
Hungary,HUN,1983,626147
Israel,ISR,1983,16509
Italy,ITA,1983,8328000
Japan,JPN,1983,58890
Jordan,JOR,1983,0
Lebanon,LBN,1983,5000
Libya,LBY,1983,0
Madagascar,MDG,1983,6900
Malta,MLT,1983,2450
Mexico,MEX,1983,229596.34
Morocco,MAR,1983,42000
New Zealand,NZL,1983,57743
Norway,NOR,1983,0
Panama,PAN,1983,220
Paraguay,PRY,1983,7700
Peru,PER,1983,9000
Portugal,PRT,1983,848300
Reunion,REU,1983,54
Romania,ROU,1983,948700
South Africa,ZAF,1983,791723
Spain,ESP,1983,3091300
Switzerland,CHE,1983,151333
Syria,SYR,1983,323
Tunisia,TUN,1983,53710
Turkey,TUR,1983,14281
United Kingdom,GBR,1983,700
United States,USA,1983,1476000
Uruguay,URY,1983,75131
Vietnam,VNM,1983,0
Yugoslavia,OWID_YGS,1983,787743
Zimbabwe,ZWE,1983,1410
Albania,ALB,1984,23000
Algeria,DZA,1984,139380
Argentina,ARG,1984,1880833
Australia,AUS,1984,396244
Austria,AUT,1984,251892
Belgium-Luxembourg (FAO),,1984,15647
Bolivia,BOL,1984,2048
Brazil,BRA,1984,243301
Bulgaria,BGR,1984,515500
Canada,CAN,1984,60620
Chile,CHL,1984,385000
China,CHN,1984,160000
Colombia,COL,1984,0
Cuba,CUB,1984,0
Cyprus,CYP,1984,44200
Egypt,EGY,1984,1708
France,FRA,1984,6415000
Germany,DEU,1984,888242
Greece,GRC,1984,500700
Hungary,HUN,1984,507276
Israel,ISR,1984,17584
Italy,ITA,1984,7090000
Japan,JPN,1984,45070
Jordan,JOR,1984,0
Lebanon,LBN,1984,6000
Libya,LBY,1984,0
Madagascar,MDG,1984,7500
Malta,MLT,1984,2100
Mexico,MEX,1984,206221.33
Morocco,MAR,1984,35000
New Zealand,NZL,1984,41684
Norway,NOR,1984,0
Panama,PAN,1984,214
Paraguay,PRY,1984,7500
Peru,PER,1984,9500
Portugal,PRT,1984,856000
Reunion,REU,1984,39
Romania,ROU,1984,1003800
South Africa,ZAF,1984,783815
Spain,ESP,1984,3395800
Switzerland,CHE,1984,102959
Syria,SYR,1984,341
Tunisia,TUN,1984,65700
Turkey,TUR,1984,18456
United Kingdom,GBR,1984,700
United States,USA,1984,1665600
Uruguay,URY,1984,66602
Vietnam,VNM,1984,0
Yugoslavia,OWID_YGS,1984,629019
Zimbabwe,ZWE,1984,1580
Albania,ALB,1985,22700
Algeria,DZA,1985,93810
Argentina,ARG,1985,1574083
Australia,AUS,1985,451211
Austria,AUT,1985,112566
Belgium-Luxembourg (FAO),,1985,11104
Bolivia,BOL,1985,2048
Brazil,BRA,1985,366342
Bulgaria,BGR,1985,385900
Canada,CAN,1985,48209
Chile,CHL,1985,438000
China,CHN,1985,233000
Colombia,COL,1985,0
Cuba,CUB,1985,0
Cyprus,CYP,1985,38700
Egypt,EGY,1985,1850
France,FRA,1985,7029000
Germany,DEU,1985,609695
Greece,GRC,1985,449900
Hungary,HUN,1985,289020
Israel,ISR,1985,18348
Italy,ITA,1985,6234000
Japan,JPN,1985,51420
Jordan,JOR,1985,0
Lebanon,LBN,1985,7000
Libya,LBY,1985,0
Madagascar,MDG,1985,7700
Malta,MLT,1985,2100
Mexico,MEX,1985,219352.56
Morocco,MAR,1985,37000
New Zealand,NZL,1985,59626
Norway,NOR,1985,0
Panama,PAN,1985,151
Paraguay,PRY,1985,7700
Peru,PER,1985,10000
Portugal,PRT,1985,975000
Reunion,REU,1985,58
Romania,ROU,1985,534900
South Africa,ZAF,1985,733460
Spain,ESP,1985,3238200
Switzerland,CHE,1985,109395
Syria,SYR,1985,402
Tunisia,TUN,1985,52940
Turkey,TUR,1985,17212
United Kingdom,GBR,1985,600
United States,USA,1985,1720000
Uruguay,URY,1985,70600
Vietnam,VNM,1985,0
Yugoslavia,OWID_YGS,1985,461407
Zimbabwe,ZWE,1985,1320
Albania,ALB,1986,19000
Algeria,DZA,1986,90630
Argentina,ARG,1986,1857060
Australia,AUS,1986,389200
Austria,AUT,1986,222985
Belgium-Luxembourg (FAO),,1986,16376
Bolivia,BOL,1986,2048
Brazil,BRA,1986,225370
Bulgaria,BGR,1986,389800
Canada,CAN,1986,57099
Chile,CHL,1986,335000
China,CHN,1986,253000
Colombia,COL,1986,0
Cuba,CUB,1986,0
Cyprus,CYP,1986,66500
Egypt,EGY,1986,2000
France,FRA,1986,7422000
Germany,DEU,1986,1091607
Greece,GRC,1986,452102
Hungary,HUN,1986,441730
Israel,ISR,1986,17381
Italy,ITA,1986,7709330
Japan,JPN,1986,44580
Jordan,JOR,1986,0
Lebanon,LBN,1986,8000
Libya,LBY,1986,0
Madagascar,MDG,1986,7800
Malta,MLT,1986,2240
Mexico,MEX,1986,246433.22
Morocco,MAR,1986,45400
New Zealand,NZL,1986,42392
Norway,NOR,1986,0
Panama,PAN,1986,159
Paraguay,PRY,1986,7300
Peru,PER,1986,10000
Portugal,PRT,1986,776000
Reunion,REU,1986,16
Romania,ROU,1986,1184600
South Africa,ZAF,1986,646832
Spain,ESP,1986,3508200
Switzerland,CHE,1986,118004
Syria,SYR,1986,423
Tunisia,TUN,1986,37480
Turkey,TUR,1986,19215
United Kingdom,GBR,1986,800
United States,USA,1986,1927000
Uruguay,URY,1986,71000
Vietnam,VNM,1986,0
Yugoslavia,OWID_YGS,1986,755625
Zimbabwe,ZWE,1986,1180
Albania,ALB,1987,22000
Algeria,DZA,1987,91780
Argentina,ARG,1987,2601780
Australia,AUS,1987,401060
Austria,AUT,1987,218362
Belgium-Luxembourg (FAO),,1987,14644
Bolivia,BOL,1987,2048
Brazil,BRA,1987,218143
Bulgaria,BGR,1987,359200
Canada,CAN,1987,54761
Chile,CHL,1987,390000
China,CHN,1987,279000
Colombia,COL,1987,0
Cuba,CUB,1987,0
Cyprus,CYP,1987,72000
Egypt,EGY,1987,2050
France,FRA,1987,6944000
Germany,DEU,1987,970783
Greece,GRC,1987,427650
Hungary,HUN,1987,326280
Israel,ISR,1987,16995
Italy,ITA,1987,7587490
Japan,JPN,1987,52730
Jordan,JOR,1987,0
Lebanon,LBN,1987,9320
Libya,LBY,1987,0
Madagascar,MDG,1987,7900
Malta,MLT,1987,2030
Mexico,MEX,1987,181017.94
Morocco,MAR,1987,45400
New Zealand,NZL,1987,37738
Norway,NOR,1987,0
Panama,PAN,1987,156
Paraguay,PRY,1987,6900
Peru,PER,1987,10000
Portugal,PRT,1987,1085000
Reunion,REU,1987,9
Romania,ROU,1987,805500
South Africa,ZAF,1987,754686
Spain,ESP,1987,3997600
Switzerland,CHE,1987,110023
Syria,SYR,1987,322
Tunisia,TUN,1987,39220
Turkey,TUR,1987,25300
United Kingdom,GBR,1987,500
United States,USA,1987,1904000
Uruguay,URY,1987,73500
Vietnam,VNM,1987,0
Yugoslavia,OWID_YGS,1987,641717
Zimbabwe,ZWE,1987,1190
Albania,ALB,1988,25300
Algeria,DZA,1988,62100
Argentina,ARG,1988,2062947
Australia,AUS,1988,407772
Austria,AUT,1988,350246
Belgium-Luxembourg (FAO),,1988,14673
Bolivia,BOL,1988,2048
Brazil,BRA,1988,348583
Bulgaria,BGR,1988,339900
Canada,CAN,1988,54229
Chile,CHL,1988,422700
China,CHN,1988,309000
Colombia,COL,1988,0
Cuba,CUB,1988,0
Cyprus,CYP,1988,85000
Egypt,EGY,1988,2100
France,FRA,1988,5745500
Germany,DEU,1988,997560
Greece,GRC,1988,425776
Hungary,HUN,1988,470711
Israel,ISR,1988,15670
Italy,ITA,1988,6101030
Japan,JPN,1988,60940
Jordan,JOR,1988,0
Lebanon,LBN,1988,10493
Libya,LBY,1988,0
Madagascar,MDG,1988,8000
Malta,MLT,1988,2520
Mexico,MEX,1988,192701.89
Morocco,MAR,1988,35400
New Zealand,NZL,1988,39192
Norway,NOR,1988,0
Panama,PAN,1988,120
Paraguay,PRY,1988,7100
Peru,PER,1988,10000
Portugal,PRT,1988,370000
Reunion,REU,1988,13
Romania,ROU,1988,642460
South Africa,ZAF,1988,784174
Spain,ESP,1988,2212900
Switzerland,CHE,1988,104588
Syria,SYR,1988,347
Tunisia,TUN,1988,20383
Turkey,TUR,1988,22524
United Kingdom,GBR,1988,600
United States,USA,1988,2011000
Uruguay,URY,1988,106197
Vietnam,VNM,1988,0
Yugoslavia,OWID_YGS,1988,576190
Zimbabwe,ZWE,1988,1040
Albania,ALB,1989,25600
Algeria,DZA,1989,50373
Argentina,ARG,1989,2031751
Australia,AUS,1989,499933
Austria,AUT,1989,258086
Belgium-Luxembourg (FAO),,1989,23647
Bolivia,BOL,1989,2048
Brazil,BRA,1989,273542
Bulgaria,BGR,1989,265686
Canada,CAN,1989,28980
Chile,CHL,1989,390000
China,CHN,1989,272000
Colombia,COL,1989,0
Cuba,CUB,1989,0
Cyprus,CYP,1989,93600
Egypt,EGY,1989,2200
France,FRA,1989,6048400
Germany,DEU,1989,1448584
Greece,GRC,1989,462760
Hungary,HUN,1989,371140
Israel,ISR,1989,14944
Italy,ITA,1989,6032680
Japan,JPN,1989,55410
Jordan,JOR,1989,0
Lebanon,LBN,1989,10865
Libya,LBY,1989,0
Madagascar,MDG,1989,8500
Malta,MLT,1989,2310
Mexico,MEX,1989,179145.97
Morocco,MAR,1989,50210
New Zealand,NZL,1989,45647
Norway,NOR,1989,0
Panama,PAN,1989,117
Paraguay,PRY,1989,7600
Peru,PER,1989,10000
Portugal,PRT,1989,759000
Reunion,REU,1989,8
Romania,ROU,1989,463200
South Africa,ZAF,1989,819275
Spain,ESP,1989,3113000
Switzerland,CHE,1989,159805
Syria,SYR,1989,426
Tunisia,TUN,1989,22500
Turkey,TUR,1989,22992
United Kingdom,GBR,1989,2100
United States,USA,1989,1829000
Uruguay,URY,1989,84695
Vietnam,VNM,1989,0
Yugoslavia,OWID_YGS,1989,486467
Zimbabwe,ZWE,1989,1000
Albania,ALB,1990,35000
Algeria,DZA,1990,48500
Argentina,ARG,1990,1403630
Australia,AUS,1990,444584
Austria,AUT,1990,316629
Belgium-Luxembourg (FAO),,1990,15477
Bolivia,BOL,1990,2048
Brazil,BRA,1990,310832
Bulgaria,BGR,1990,248046
Canada,CAN,1990,33229
Chile,CHL,1990,397800
China,CHN,1990,254000
Cuba,CUB,1990,0
Cyprus,CYP,1990,60000
Egypt,EGY,1990,2250
France,FRA,1990,6552210
Germany,DEU,1990,950500
Greece,GRC,1990,392900
Hungary,HUN,1990,547210
Israel,ISR,1990,12795
Italy,ITA,1990,5486610
Japan,JPN,1990,58283
Jordan,JOR,1990,0
Lebanon,LBN,1990,14500
Libya,LBY,1990,0
Madagascar,MDG,1990,6000
Malta,MLT,1990,1400
Mexico,MEX,1990,153328.58
Morocco,MAR,1990,30070
New Zealand,NZL,1990,54445
Norway,NOR,1990,0
Panama,PAN,1990,180
Paraguay,PRY,1990,7500
Peru,PER,1990,10000
Portugal,PRT,1990,1110000
Reunion,REU,1990,8
Romania,ROU,1990,470500
South Africa,ZAF,1990,771338
Spain,ESP,1990,3969200
Switzerland,CHE,1990,123465
Syria,SYR,1990,349
Tunisia,TUN,1990,25800
Turkey,TUR,1990,20865
United Kingdom,GBR,1990,1400
United States,USA,1990,1844500
Uruguay,URY,1990,94015
Vietnam,VNM,1990,0
Yugoslavia,OWID_YGS,1990,516994
Zimbabwe,ZWE,1990,1040
Albania,ALB,1991,11200
Algeria,DZA,1991,46000
Argentina,ARG,1991,1450027
Australia,AUS,1991,394289
Austria,AUT,1991,309326
Belgium-Luxembourg (FAO),,1991,8969
Bolivia,BOL,1991,2048
Brazil,BRA,1991,305548
Bulgaria,BGR,1991,254989
Canada,CAN,1991,37786
Chile,CHL,1991,289500
China,CHN,1991,300000
Cyprus,CYP,1991,41500
Egypt,EGY,1991,2300
France,FRA,1991,4266930
Germany,DEU,1991,1069900
Greece,GRC,1991,398450
Hungary,HUN,1991,460711
Israel,ISR,1991,11972
Italy,ITA,1991,5978800
Japan,JPN,1991,56944
Lebanon,LBN,1991,19500
Libya,LBY,1991,0
Madagascar,MDG,1991,6000
Malta,MLT,1991,1750
Mexico,MEX,1991,179617.64
Morocco,MAR,1991,38950
New Zealand,NZL,1991,49925
Panama,PAN,1991,159
Paraguay,PRY,1991,7300
Peru,PER,1991,10000
Portugal,PRT,1991,983000
Reunion,REU,1991,17
Romania,ROU,1991,500800
South Africa,ZAF,1991,801668
Spain,ESP,1991,3139000
Switzerland,CHE,1991,124578
Syria,SYR,1991,280
Tunisia,TUN,1991,41400
Turkey,TUR,1991,20005
United Kingdom,GBR,1991,1500
United States,USA,1991,1721800
Uruguay,URY,1991,79556
Yugoslavia,OWID_YGS,1991,609653
Zimbabwe,ZWE,1991,1050
Albania,ALB,1992,11800
Algeria,DZA,1992,40957
Argentina,ARG,1992,1435007
Armenia,ARM,1992,25760
Australia,AUS,1992,458501
Austria,AUT,1992,258822
Azerbaijan,AZE,1992,67000
Belarus,BLR,1992,5988
Belgium-Luxembourg (FAO),,1992,27778
Bolivia,BOL,1992,2048
Bosnia and Herzegovina,BIH,1992,14000
Brazil,BRA,1992,358378
Bulgaria,BGR,1992,221000
Canada,CAN,1992,33747
Chile,CHL,1992,316500
China,CHN,1992,450000
Croatia,HRV,1992,205915
Cyprus,CYP,1992,64500
Egypt,EGY,1992,2400
France,FRA,1992,6492850
Georgia,GEO,1992,179700
Germany,DEU,1992,1348240
Greece,GRC,1992,404100
Hungary,HUN,1992,387800
Israel,ISR,1992,12373
Italy,ITA,1992,6868610
Japan,JPN,1992,50315
Kazakhstan,KAZ,1992,47230
Kyrgyzstan,KGZ,1992,9140
Latvia,LVA,1992,7150
Lebanon,LBN,1992,23000
Libya,LBY,1992,0
Lithuania,LTU,1992,6240
Madagascar,MDG,1992,6100
Malta,MLT,1992,2590
Mexico,MEX,1992,183384.22
Moldova,MDA,1992,347400
Morocco,MAR,1992,43480
New Zealand,NZL,1992,41600
North Macedonia,MKD,1992,136456
Panama,PAN,1992,177
Paraguay,PRY,1992,7400
Peru,PER,1992,6700
Portugal,PRT,1992,760000
Reunion,REU,1992,13
Romania,ROU,1992,470700
Russia,RUS,1992,474000
Slovenia,SVN,1992,88500
South Africa,ZAF,1992,770009
Spain,ESP,1992,3383200
Switzerland,CHE,1992,123888
Syria,SYR,1992,245
Tajikistan,TJK,1992,20740
Tunisia,TUN,1992,33000
Turkey,TUR,1992,26969
Turkmenistan,TKM,1992,13200
Ukraine,UKR,1992,219000
United Kingdom,GBR,1992,2400
United States,USA,1992,1521900
Uruguay,URY,1992,80404
Uzbekistan,UZB,1992,72000
Zimbabwe,ZWE,1992,960
Albania,ALB,1993,8906
Algeria,DZA,1993,65000
Argentina,ARG,1993,1447084
Armenia,ARM,1993,27350
Australia,AUS,1993,461836
Austria,AUT,1993,186548
Azerbaijan,AZE,1993,31000
Belarus,BLR,1993,6174
Belgium-Luxembourg (FAO),,1993,17282
Bolivia,BOL,1993,2048
Bosnia and Herzegovina,BIH,1993,7900
Brazil,BRA,1993,268923
Bulgaria,BGR,1993,168300
Canada,CAN,1993,24948
Chile,CHL,1993,380600
China,CHN,1993,500000
Croatia,HRV,1993,208105
Cyprus,CYP,1993,85000
Czechia,CZE,1993,45490
Egypt,EGY,1993,2450
Ethiopia,ETH,1993,1043.21
France,FRA,1993,5331440
Georgia,GEO,1993,162000
Germany,DEU,1993,992000
Greece,GRC,1993,337800
Hungary,HUN,1993,364410
Israel,ISR,1993,12733
Italy,ITA,1993,6267160
Japan,JPN,1993,51020
Kazakhstan,KAZ,1993,23780
Kyrgyzstan,KGZ,1993,5680
Latvia,LVA,1993,1710
Lebanon,LBN,1993,26500
Lithuania,LTU,1993,5800
Madagascar,MDG,1993,6000
Malta,MLT,1993,2800
Mexico,MEX,1993,166853.22
Moldova,MDA,1993,549000
Morocco,MAR,1993,33200
New Zealand,NZL,1993,32500
North Macedonia,MKD,1993,51151
Panama,PAN,1993,244
Paraguay,PRY,1993,7445
Peru,PER,1993,6670
Portugal,PRT,1993,470000
Reunion,REU,1993,11
Romania,ROU,1993,583855
Russia,RUS,1993,335000
Slovakia,SVK,1993,56050
Slovenia,SVN,1993,89250
South Africa,ZAF,1993,628059
Spain,ESP,1993,2650700
Switzerland,CHE,1993,115603
Syria,SYR,1993,300
Tajikistan,TJK,1993,15620
Tunisia,TUN,1993,33245
Turkey,TUR,1993,28797
Turkmenistan,TKM,1993,12000
Ukraine,UKR,1993,175000
United Kingdom,GBR,1993,1750
United States,USA,1993,1944100
Uruguay,URY,1993,106970
Uzbekistan,UZB,1993,60000
Zimbabwe,ZWE,1993,1200
Albania,ALB,1994,9640
Algeria,DZA,1994,50000
Argentina,ARG,1994,1817290
Armenia,ARM,1994,23580
Australia,AUS,1994,587377
Austria,AUT,1994,264664
Azerbaijan,AZE,1994,13000
Belarus,BLR,1994,6726
Belgium-Luxembourg (FAO),,1994,17557
Bolivia,BOL,1994,2048
Bosnia and Herzegovina,BIH,1994,3500
Brazil,BRA,1994,301977
Bulgaria,BGR,1994,188500
Canada,CAN,1994,30093
Chile,CHL,1994,359800
China,CHN,1994,620000
Croatia,HRV,1994,189253
Cyprus,CYP,1994,48500
Czechia,CZE,1994,49679
Egypt,EGY,1994,2480
Ethiopia,ETH,1994,999
France,FRA,1994,5464000
Georgia,GEO,1994,160000
Germany,DEU,1994,1040600
Greece,GRC,1994,305100
Hungary,HUN,1994,369413
Israel,ISR,1994,12000
Italy,ITA,1994,5927974
Japan,JPN,1994,52050
Kazakhstan,KAZ,1994,14210
Kyrgyzstan,KGZ,1994,4080
Latvia,LVA,1994,2550
Lebanon,LBN,1994,29512
Lithuania,LTU,1994,922
Madagascar,MDG,1994,5900
Malta,MLT,1994,3150
Mexico,MEX,1994,203434.83
Moldova,MDA,1994,386700
Morocco,MAR,1994,27860
New Zealand,NZL,1994,41100
North Macedonia,MKD,1994,88024
Panama,PAN,1994,198
Paraguay,PRY,1994,7700
Peru,PER,1994,6670
Portugal,PRT,1994,635000
Reunion,REU,1994,13
Romania,ROU,1994,537000
Russia,RUS,1994,296000
Slovakia,SVK,1994,68579
Slovenia,SVN,1994,82945
South Africa,ZAF,1994,719929
Spain,ESP,1994,2078300
Switzerland,CHE,1994,118869
Syria,SYR,1994,256
Tajikistan,TJK,1994,14680
Tunisia,TUN,1994,28414
Turkey,TUR,1994,29960
Turkmenistan,TKM,1994,32400
Ukraine,UKR,1994,116320
United Kingdom,GBR,1994,1833
United States,USA,1994,1755000
Uruguay,URY,1994,70892
Uzbekistan,UZB,1994,53000
Zimbabwe,ZWE,1994,1191
Albania,ALB,1995,16922
Algeria,DZA,1995,57100
Argentina,ARG,1995,1644300
Armenia,ARM,1995,10400
Australia,AUS,1995,502796
Austria,AUT,1995,222897
Azerbaijan,AZE,1995,7080
Belarus,BLR,1995,10210
Belgium-Luxembourg (FAO),,1995,15065
Bolivia,BOL,1995,2048
Bosnia and Herzegovina,BIH,1995,3400
Brazil,BRA,1995,312832
Bulgaria,BGR,1995,259300
Canada,CAN,1995,35483
Chile,CHL,1995,316700
China,CHN,1995,700000
Croatia,HRV,1995,178492
Cyprus,CYP,1995,55500
Czechia,CZE,1995,45922
Egypt,EGY,1995,2550
Ethiopia,ETH,1995,1070.68
France,FRA,1995,5560100
Georgia,GEO,1995,79000
Germany,DEU,1995,836100
Greece,GRC,1995,390000
Hungary,HUN,1995,328938
Israel,ISR,1995,12200
Italy,ITA,1995,5620140
Japan,JPN,1995,65210
Kazakhstan,KAZ,1995,12190
Kyrgyzstan,KGZ,1995,2640
Latvia,LVA,1995,4700
Lebanon,LBN,1995,30000
Lithuania,LTU,1995,1100
Madagascar,MDG,1995,6000
Malta,MLT,1995,3150
Mexico,MEX,1995,146576.33
Moldova,MDA,1995,320000
Morocco,MAR,1995,17250
New Zealand,NZL,1995,56400
North Macedonia,MKD,1995,91053
Panama,PAN,1995,176
Paraguay,PRY,1995,8678
Peru,PER,1995,10584
Portugal,PRT,1995,706000
Reunion,REU,1995,14
Romania,ROU,1995,672000
Russia,RUS,1995,234000
Slovakia,SVK,1995,66180
Slovenia,SVN,1995,78061
South Africa,ZAF,1995,752668
Spain,ESP,1995,2104000
Switzerland,CHE,1995,118140
Syria,SYR,1995,249
Tajikistan,TJK,1995,12390
Tunisia,TUN,1995,28179
Turkey,TUR,1995,31834
Turkmenistan,TKM,1995,49200
Ukraine,UKR,1995,186000
United Kingdom,GBR,1995,1833
United States,USA,1995,1866800
Uruguay,URY,1995,85182
Uzbekistan,UZB,1995,83000
Zimbabwe,ZWE,1995,1500
